Nome do negócio,Nome do contato no negócio,Qual feature está indisponível,Motivo fechamento perdido,Data entrada perdido SDR,Data entrada perdido CLOSER,Número de lojas,Observação,Observações de atividades
Matsuri Sushi Bar - Nossa Senhora das Gracas,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"@Ana Carvalho 27/05/2020: Tentei contato pelo whatsapp e não obtive resposta. Só visualizaram! {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: falei com o td, o EC está fechado.
 @Ana Carvalho 29/05/2020: falei com o td, ele disse que quer reativar quando reabrir. E me avisa quando for reabrir.",
Empório Sabor & Tempero - Inoã - Maricá - RJ,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,***,
Quintal Bar B Q - Centro,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,- 02/04 - paralisaram as atividades,
Doceria Sonho Real - CENTRO,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Maroca's Burger II - Alto de São Manoel,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,85000000000,
Grilo Restaurante - Cruz,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"23/10 - Disse que inaugurou há pouco e que não teve tempo, mas nas próximas semanas vai ver com mais calma.",
Sous Ribs - ASA NORTE,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"61981031308
 Mesmo proprietário do Sushi Way.",
Tempero Do Sertao - Kiara Lubic,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"(79) 99860-7819 é esse o número
 @Ana Carvalho 26/05/2020: Tentei contato pelo whatsapp, responderam com uma mensagem automática dizendo que o EC não está aberto. {CAMPANHA DE OFERTAS ATIVAS}
 03/06/2020: Disparo de mensagem para religação das ofertas, td quer reativar e queria saber quanto está pagando na stone, passei o telefone do RC",
9 De Julho - Centro,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"- 13/12 - Não tive qualquer retorno do cliente. Enviei email me colocando à disposição para conversar quando ele quiser
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta
 
 - 25/11 - FUP email
 
 - 22/11 - Sidônio não estava disponível (notei que é algo recorrente, dadas as demais tentativas de contato).
 Enviei Loom via email: https://www.loom.com/share/15ec68b7ae1442aaa24e15e8741d3c1c
 
 01/08 - Liguei e a atendente pediu pra eu ligar as 11h. Liguei as 11h e ele deu uma saída, só retorna a noite
 
 
 31/7 - Liguei na padaria (11) 4033-2955 e falei com a Thais. Ele está lá só na parte da manhã - até às 15h
 
 30/7 - Liguei para o TD, tocou até o final e não atendeu. Esse número não é whatsapp.",
Bolo da vovó Tereza - Flores,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Don Cake - ZONA 02,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,*Growming ok,
Restaurante Saveiro - Comercio,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,72000000000,
Armazem Vida Leve - Ceramica,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Caracas Bar - Pompeia,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Padaria Da Enseada - Enseada,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"03/12 - tentativa de ligação para TD, todas frustradas.
 
 02/12 - e-mail de estratégia enviado.
 
 27/11 - Cliente encontrado porém estava ""enrolado"".
 O TD tem interesse em utilizar Collact, mas afirmou que não tem tempo para fazer o treinamento e acompanhamento dos funcionários porque cuida de muitas tarefas. Precisa que alguem passe lá e de treinamento para o estabelecimento.
 26/11 - Ligação negada e mensagem ignorada
 25/11- Ligação de FUP e mensagem. Retorno em 26/11
 21/11 - Mensagem de FUP
 19/11 - Cliente recebeu o vídeo, mas não assistiu até o presente momento porque ""se esquece de abrir o whats"". Telefonei e recebi a confirmação de que iria ver o vídeo. Conversa marcada para dia 26/11
 
 Vídeo Loom: https://www.loom.com/share/4e37b05656ed4ebfa33c5b443ea832b7
 
 Cliente possui 4 máquinas D210",
"Jeitim Da Roca - Campinas, São Jose, SC",,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,49000000000,
Don Nicoli Pizzas & Lanches - VILA GUARANI,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,x,
Porto Grão - Vila Olímpia,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"Papo sobre ofertas foi aberto, esperando o Cabral responder",
CHEFF BURGER - Jardim Guanabara,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"@Ana Carvalho 25/05/2020: {CAMPANHA DE OFERTAS ATIVAS} Falei com o Td, disse que pode na quarta. agendei para às 16:30
 26/05/2020: Falei com o td, pois ele estava com algumas dúvidas (queria venda digitada) - recomendei ele falar com o seu agente stone ou no RC.
 27/05/2020: O TD não entrou na demo e não respondeu no whats
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Cantina Amelia - Centro,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,- 06/03 - número inválido,
Yang Chan Jardins - Jardins,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Rustic Hamburgueria (Macapá Shopping) - Central,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,Aguardando máquinas.,
Parrilla del Pátio - Funcionários,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,"31998125392 - TD Guilherme
 Maitres: Kenedy - 31994633216 e Everton - 31988950798",
Panificadora Mais Sabor - Morada do Contorno,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,***,
Titi Temaki - Residencial Casa Grande II,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Dona Carola Bistro - Presidente Altino,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Kleine Ecke - Jaguaré,,,Limpeza de Funil,2025-01-24T18:38:39.323Z,,,,
Chatinhos Rua 2 - Parque Moderno,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,*,
Cafe Caramello - Meireles,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"03/06/2020: O TD disse que estao fechados, mas que me avisa assim que retornarem",
Crema Salvador Shopping - Caminho das Árvores,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 04/12 - FUP email
 - 26/11 - TD não abriu o email
 - 25/11 - FUP email
 - 22/11 - Loom enviado por email : 
 https://www.loom.com/share/717e17ebc7d74d4791c479ba8e8c52d4",
The Walking Dog - Nova Aliança,,,Parou de responder,2024-11-19T17:39:15.930Z,,,,
Rest. Tempero Da Dinda - Cidade São Mateus,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,12000000000,
Puro Sabor - BELA VISTA,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Paganini Chocolates - Retiro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 11/12 - David (TD) é muito engajado e está ""sofrendo"" pois funcionários não estão cadastrando.
 Vai alterar as ofertas",
Cosechas Saara - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Mr. Fit Ribeirão Preto - JARDIM IRAJA,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Queijo & Companhia - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,48000000000,
Casa Do Sorvete Jundia - Vila Bocaina,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Di Casa Cozinha - Asa Norte,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Acai Tedoide - UMARIZAL,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"91981249100
 @Ana Carvalho 25/05/2020: Tentei contato pelo whatsapp e não obtive resposta! Só visualizaram. {CAMPANHA DE OFERTAS ATIVAS}
 @Karla Nogueira 02/06/2020: O TD não atendeu.
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
Gygabon - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Agape Restaurante - Casa Verde,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"05/12 - whatsapp com estratégia/Cliente desistiu de Stone
 04/12 - envio de whats com estratégia",
Panificadora Tavares - Xaxim,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,4200000000,
Crema Shopping Barra - CHAME,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Lanche do Parente Hamburgueria - Trem,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Obba - Boqueirão,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Sr. Banana Açaí Vilas do Atlântico - Vilas Do Atlântico,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"71 993524417 - Suzane, esposa do TD, cuida do Financeiro",
Santo Donut 2 - Nossa Senhora de Fátima,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Lokos Por Pizza - Santa Felicidade,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,*,
Polpetta - VILA NOVA,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"13/12 - FUP
 05/12 - Whatsapp com estratégia
 03/12 - envio de e-mail com estratégia",
Frango No Pote Águas Claras - Taguatinga Norte,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Blends Cafe & Cultura - Santana,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 13/12 - nenhum retorno do cliente até o momento
 
 - 11/12 - FUP wpp
 
 - 09/12 - FUP wpp
 
 
 - 03/12 - Enviei email com sugestão de melhoria no título das ofertas (não fica claro que o produto será oferecido gratuitamente para o cliente que recebe e, talvez por isso, a taxa de engajamento seja tão baixa)
 
 
 
 
 Agente Edmur (tel: +55 11 98454-1089) pediu hoje, 11/11, um suporte pra enviar material personalizado de divulgação. O Cliente está engajado. Era do Pedro e já passou dos 50 cadastros ha um tempo.",
Eat Restaurante - Águas Claras,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Grao Seleto - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 27/01 - enviei wpp para tentar reativar o cliente
 - 17/01 - TD quer assistir vídeos do Bem Vindo antes de marcar call.
 Vamos nos falar na próxima semana",
Havanna Cafe - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Edilu's - Santana,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Pettigaderia Gourmet - Jd Redentor,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Na Vila - Brasília,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Hiro's - Jardim America,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,- 11/02 - sem telefone de contato,
Duckbill Campos - Centro,,,Contato inexistente,2024-10-22T20:15:23.269Z,,,"- 12/12 - Leonardo (gerente) vai falar com a franqueada a respeito das ofertas e retornar
",
Recanto Do Camarao - Taguatinga,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,Junior +55 61 9191-0811,
Pizza Na Pedra - Parque dos Novos Estados,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Santa Fe Hamburgueria - Loteamento Alaska,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"@Ana Carvalho 18/05/2020: Falei com o td, agendamos uma demo para amanhã às 11:15.
 @Ana Carvalho 19/05/2020: O td não respondeu no whatsapp e não entrou na videocall.
 @Ana Carvalho 26/05/2020: {CAMPANHA DE OFERTAS ATIVAS} falei com o td, ele quer conversar conosco. Tentamos agendar um horário, porém ele não respondeu quando ele pode.
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Zebu Strike - Vila Olimpica,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Dom Marcos Restaurante - Anhangabaú,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,- 13/01 - cliente com potencial mas que não cadastra e passa poucas trx. entrei em contato para avaliar o que pode ser melhorado,
Ponto/1 - Vila Santa Isabel,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Restaurante Bembolado2 - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Rendez Vous - Pinheiros,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"** Treinamento
 pessoal",
Dio Madona - Vila Santa Fe,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"@Ana Carvalho 25/05/2020: Tentei contato pelo whatsapp e não obtive resposta! {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. {CAMPANHA DE OFERTAS ATIVAS}
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
La Bombonera - Montese,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"85988963320
 @Ana Carvalho 26/05/2020: Tentei contato pelo whatsapp e não obtive resposta. Só visualizaram! {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. visualizou ; {CAMPANHA DE OFERTAS ATIVAS}",
Frangote - Jardim Amalia,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,**Só abre FDS,
Stop Conveniencia - Lago Norte,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
La Lilla - CENTRO,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"O Paulo passou o contato da Liliane, sua esposa que é a TD da loja La Lilla",
Cordel Cafés Especiais - Parnamirim,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Frango No Pote Águas Claras - Taguatinga,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Feito A Mão Cozinha Artesanal - Vila Vilas Boas,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,68000000000,
Sorveteria Pinguim - Bosque,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,68992816753 Renata é a responsável pelo operacional,
Airshot - Sobradinho,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,Vai testar enquanto é grátis.,
Maxx Burger - Jardim Camburi,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Brigadeiro Doceria & Café - Augusta - Consolação,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,FUP 10/10,
CATARINO CAFÉ - ONOVOLAB SÃO CARLOS,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 02/04 - fechados até 05/04
 16997777773",
Nat Health Organicos - Brasília,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"71 98723-9702 Junior
 Têm delivery em Salvador e loja física em Feira de Santana. Criaram um cartão fidelidade com pagamento anual de 19,90 e direito a 5% a 10% de desconto no valor de cada compra dos clientes. Estão migrando todos esses clientes pra Collact",
CASA do PÃO de QUEIJO TAUBATÉ SHOPPING - TAUBATÉ SHOPPING,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 08/04 - não estão fazendo delivery
 
 - 11/12 - contato por wpp com sugestão de oferta (algo que já é feito em outra casa do pão de queijo e que pode funcionar para o cliente)
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Central Perk - São Pedro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,*,
Torre Pizzaria - AGUA VERDE,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"*TD afirmou que seus clientes não se cadastravam no delivery (talvez desconfiança) e que 30% do seu faturamento vinha de compras com dinheiro e esses clientes estavam ficando chateados
 *Cliente não atendeu.
 *Telefone não atende",
American Chicken - Bosque,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,68992194001 - Bruno,
The Spartans CO. - Meia Praia,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,E-mail estava incorreto no cadastro.,
Restaurante Maturi - Grageru,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"Matheus, filho da TD, é o responsável pela Collact
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Umami Deli - Asa Sul,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Don'ana - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Pizzaria Brunglas - Jardim Primavera,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Oliverde Ondina - Ondina,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Panificacao Trigally - CIDADE UNIVERSITARIA,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"10/01: TD disse que convidam todos os clientes para participar, mas falam que é para o cliente colocar o CPF na maquininha da Stone para baixar um aplicativo e ganhar créditos e descontos. Sugeri de convidarem falando de desconto e colocar o download do app como sendo um plus e usar os contatos pra mandar presente para os melhores clientes do mês; cliente adorou as sugestões",
Steak & Co. - São Benedito,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Jonas Cafe - Asa Norte,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Seg Culinaria Delivery - Residencial Primavera,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,99000000000,
Frango Frito Salto - CENTRO,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 03/12 - email com informações sobre uso do painel e reforço da ""frase mágica""",
Coffee Story - Cambuci,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Colombina Dolceria - Jardim Santa Rosália,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 15/01 - Vai implementar fidelidade 10% por um mês --> estamos produzindo arte para enviar (prismas).
 Super solícito, engajado e fofo
 - 14/01 - em contato com Lucas, responsável pelo Marketing.
 Curtiu a ideia de alterar ofertas e de implementar fidelidade 10% por 1 mês.
 
 - 09/01- TD Mariana: 15 981872211
 Enviei mensagem para ativarmos ofertas nas duas lojas (apenas a do Jd Paulistano tem ofertas ativas)
 
 Telefone não atende. Cliente era migração.",
Por.ai - Jardim Paulista,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Grill Picanha na Tábua - Campo Do Galvao,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"ROTINA: Acompanhar evolução da oferta
 
 - 16/12 - Oferta de Boas Vindas implementada
 
 - 13 e 14/12 - Heloísa disparou mensagens wpp convidando clientes a realizarem festas de confraternização no restaurante
 
 - 13/12 FUP Heloísa sobre implementação de ofertas e disparo de wpp com oferta de final de ano com arte que o José (TD) já criou
 
 - 11/12 - Heloisa (gerente) relatou problema em uma máquina. Orientei atualização.
 
 - 09/12 - TD super disposto a engajar e criar ofertas. Pediu para entrar em contato com Heloísa (gerente do restaurante e pessoa mais próxima de Collact no estabelecimento) para alinharmos disparo de ofertas, orientar sobre utilização do painel e tirar dúvidas
 
 - 07/12 TD respondeu e pediu para entrar em contato. Tem algumas dúvidas do produto e quer saber mais sobre as ofertas
 
 - 04/12 - TD respondeu mas não se dispôs à seguir as sugestões nem prosseguiu conversa
 
 - 04/12 - FUP email e wpp
 
 - 29/11 - email com informações sobre uso do painel, reforço da ""frase mágica"", sugestão de uso do whatsapp para ofertas exclusivas para clientes cadastrados e oferta de aniversário (algo similar ao que já divulgaram no facebook)
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Panificadora Rosamelia - Aviário,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 28/11 - email está errado. não encontrei telefone do TD --> tentei contato com agente e também não consegui
 
  - 28/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta de aniversário e boas vindas
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta""
 
 68999869842 Bruna (responsável pela Collact)",
Mercado Conradi - Estreito,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"03/11 - Tentativa de ligação. Mensagem whats com estratégia enviada. E-mail com mensagem de estratégia enviado
 
 02/11 - Mensagem FUP enviada.
 
 27/11 - Ligação com problemas técnicos e mensagem FUP não respondida. Respondeu, irá analizar o vídeo e me retornar.
 
 26/11 - Tentativa de ligação negada duas vezes pela TD. Mensagens ignoradas.
 21/11 - Recebeu o vídeo, mas só poderá conversar sobre ele a partir de terça-feira dia 26/11
 
 Video loom: https://www.loom.com/share/e3f9f4151d5047d3a432b2709a4e9086",
Nutrisom - Vila Olímpia,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
EISENHAUS - Tirol,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,EDWIN é o TD,
Espaco Vida Saudavel - Farol,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
1600cc Burger - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Black Pearl Pub Bar - Parque Bela Vista,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 27/01 - enviei wpp para reativar cliente
 - 13/01 - TD pensou que era uma visita presencial e disse que, no momento, não podia me atender. Pediu para remarcar a ligação
 - 10/01 - TD agendou call pra 13/01 às 10h.
 Enviei vídeos do Bem Vindo para ele se familiarizar com a ferramenta antes do call.
 - 10/01 - adicionei logo do EC",
Panificadora Cascavel - Cancelli,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"45999348464
 07/02: gostaram da facilidade de estar em contato com o cliente, querem fidelizar mais os clientes. É um comércio pequeno, não tem muitos funcionários, por isso a divulgação acaba sendo falha. Duas pessoas que fazem o pagamento, sendo o próprio TD e outra pessoa. Eles já tinham cadastrado 24 pessoas mesmo sem ativar os créditos, mas ativamos em 10%.",
Ariga Food - Jardim Paulista,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"- 27/01 - enviei wpp para tentar reativar o cliente
 - 17/01 - TD quer assistir vídeos do Bem Vindo antes de marcar call.
 Vamos nos falar na próxima semana",
Sabor De Casa Itaigara - Itaigara,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Brigadeiro's Bakery - Jardim Maia,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,- 03/06 - EC fechado até 06/07,
Vó Alzira - Vila Sobrinho,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Bistrô Thahê Doces Finos - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Fabio Yamada 2 - Jardim Paulistano,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Choc. Pao De Mel - Setor Sul,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Lanche Apetitoso - Setor Oeste,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"TD está viajando e volta depois do carnaval
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta .",
Doideja Doces e Delicias - São Roque - Centro,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Espaço Café - CENTRO,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,,
Super 8 Burger - Vila Tibério,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,- 12/02 - FUP,
Caldos & Caldos - PALMAS BRASIL,,,Limpeza de Funil,2025-01-24T20:41:04.921Z,2025-01-24T20:35:37.972Z,,"@Ana Carvalho
 14/05/2020: Tentei ligar, mas o td não atendeu em nenhum dos telefones agendados. E só visualizou no whatsapp.",
